 981214  6923.50  1365.7153
 981215  6924.50  1365.9068
 981216  6925.50  1366.1254
 981217  6926.50  1366.3564
 981218  6927.50  1366.4319
 981219  6928.50  1366.4227
 981220  6929.50  1366.3627
 981221  6930.50  1366.2656
 981222  6931.50  1366.3457
 981223  6932.50  1366.3767
 981224  6933.50  1366.5829
 981225  6934.50   -99.0000
 981226  6935.50   -99.0000
 981227  6936.50   -99.0000
 981228  6937.50   -99.0000
 981229  6938.50   -99.0000
 981230  6939.50   -99.0000
 981231  6940.50  1366.1214
 990101  6941.50  1366.1885
 990102  6942.50  1366.2235
 990103  6943.50  1366.3797
 990104  6944.50  1366.4638
 990105  6945.50  1366.4808
 990106  6946.50  1366.3146
 990107  6947.50  1366.4027
 990108  6948.50  1366.4217
 990109  6949.50  1366.3316
 990110  6950.50  1366.1755
 990111  6951.50   -99.0000
 990112  6952.50  1366.1495
 990113  6953.50  1366.1204
 990114  6954.50  1366.2245
 990115  6955.50  1366.0934
 990116  6956.50  1366.0464
 990117  6957.50  1365.9002
 990118  6958.50  1365.7191
 990119  6959.50  1365.7331
 990120  6960.50  1365.7241
 990121  6961.50  1365.8912
 990122  6962.50  1366.2376
 990123  6963.50  1366.5589
 990124  6964.50  1366.5999
 990125  6965.50  1366.1975
 990126  6966.50  1366.7350
 990127  6967.50  1366.7130
 990128  6968.50  1366.6600
 990129  6969.50  1366.6339
 990130  6970.50  1366.5539
 990131  6971.50  1366.3997
 990201  6972.50  1366.3106
 990202  6973.50  1366.2255
 990203  6974.50  1366.1325
 990204  6975.50  1366.1552
 990205  6976.50  1366.1322
 990206  6977.50  1366.0904
 990207  6978.50  1366.1303
 990208  6979.50  1366.1610
 990209  6980.50  1366.1015
 990210  6981.50  1365.9459
 990211  6982.50  1365.6782
 990212  6983.50  1365.3540
 990213  6984.50  1364.9760
 990214  6985.50  1364.8112
 990215  6986.50  1364.7632
 990216  6987.50  1364.9544
 990217  6988.50  1365.3507
 990218  6989.50  1366.3190
 990219  6990.50  1366.4915
 990220  6991.50  1366.6228
 990221  6992.50  1366.6553
 990222  6993.50  1366.5904
 990223  6994.50  1366.5502
 990224  6995.50  1366.5416
 990225  6996.50  1366.5507
 990226  6997.50  1366.4795
 990227  6998.50  1366.3809
 990228  6999.50  1366.2426
 990301  7000.50  1366.1441
 990302  7001.50  1365.9627
 990303  7002.50  1365.8508
 990304  7003.50  1365.8549
 990305  7004.50  1365.9364
 990306  7005.50  1366.0532
 990307  7006.50  1366.1105
 990308  7007.50  1366.2322
 990309  7008.50  1366.2747
 990310  7009.50  1366.3093
 990311  7010.50  1366.2866
 990312  7011.50  1366.2319
 990313  7012.50  1366.0003
 990314  7013.50  1365.7723
 990315  7014.50  1365.8888
 990316  7015.50  1366.0356
 990317  7016.50  1366.2830
 990318  7017.50  1366.4291
 990319  7018.50  1366.5160
 990320  7019.50  1366.4576
 990321  7020.50  1366.3819
 990322  7021.50  1366.3665
 990323  7022.50  1366.3161
 990324  7023.50  1366.2136
 990325  7024.50  1366.1409
 990326  7025.50  1366.0767
 990327  7026.50  1366.0810
 990328  7027.50  1366.0859
 990329  7028.50  1366.0543
 990330  7029.50  1366.0816
 990331  7030.50  1366.0834
 990401  7031.50  1366.0427
 990402  7032.50  1366.0397
 990403  7033.50  1366.0336
 990404  7034.50  1365.9634
 990405  7035.50  1366.0391
 990406  7036.50  1366.2003
 990407  7037.50  1366.2678
 990408  7038.50  1366.2480
 990409  7039.50  1366.2800
 990410  7040.50  1366.2538
 990411  7041.50  1366.3869
 990412  7042.50  1366.4729
 990413  7043.50  1366.5149
 990414  7044.50  1366.4865
 990415  7045.50  1366.4207
 990416  7046.50  1366.2296
 990417  7047.50  1366.1398
 990418  7048.50  1366.1514
 990419  7049.50  1365.9924
 990420  7050.50  1365.8088
 990421  7051.50  1365.7560
 990422  7052.50  1365.6614
 990423  7053.50  1365.6892
 990424  7054.50  1365.8102
 990425  7055.50  1365.7110
 990426  7056.50  1365.6673
 990427  7057.50  1365.6644
 990428  7058.50  1365.6556
 990429  7059.50  1365.7197
 990430  7060.50  1365.9105
 990501  7061.50  1366.1225
 990502  7062.50  1366.2535
 990503  7063.50  1366.3337
 990504  7064.50  1366.3065
