time,mg_index
2451471.0,0.27462
2451472.0,0.27540
2451473.0,0.27384
2451474.0,0.27237
2451475.0,0.27325
2451476.0,0.27452
2451477.0,0.27579
2451478.0,0.27579
2451479.0,0.27491
2451480.0,0.27725
2451481.0,0.27725
2451482.0,0.27696
2451483.0,0.27647
2451484.0,0.27559
2451485.0,0.27452
2451486.0,0.27413
2451487.0,0.27423
2451488.0,0.27501
2451489.0,0.27599
2451490.0,0.27757
2451491.0,0.27979
2451492.0,0.28067
2451493.0,0.28145
2451494.0,0.28194
2451495.0,0.28126
2451496.0,0.28135
2451497.0,0.28018
2451498.0,0.27969
2451499.0,0.27930
2451500.0,0.27999
2451501.0,0.27999
2451502.0,0.27989
2451503.0,0.27950
2451504.0,0.28038
2451505.0,0.28018
2451506.0,0.27833
2451507.0,0.27911
2451508.0,0.27725
2451509.0,0.27657
2451510.0,0.27394
2451511.0,0.27471
2451512.0,0.27452
2451513.0,0.27371
2451514.0,0.27382
2451515.0,0.27391
2451516.0,0.27397
2451517.0,0.27392
2451518.0,0.27399
2451519.0,0.27426
2451520.0,0.27594
2451521.0,0.27693
2451522.0,0.27885
2451523.0,0.27925
2451524.0,0.27926
2451525.0,0.27953
2451526.0,0.27973
2451527.0,0.27979
2451528.0,0.27932
2451529.0,0.27971
2451530.0,0.28065
2451531.0,0.28094
2451532.0,0.28025
2451533.0,0.27916
2451534.0,0.27950
2451535.0,0.27853
2451536.0,0.27668
2451537.0,0.27578
2451538.0,0.27498
2451539.0,0.27426
2451540.0,0.27364
2451541.0,0.27262
2451542.0,0.27214
2451543.0,0.27224
2451544.0,0.27247
2451545.0,0.27315
2451546.0,0.27368
2451547.0,0.27464
2451548.0,0.27540
2451549.0,0.27601
2451550.0,0.27676
2451551.0,0.27703
2451552.0,0.27763
2451553.0,0.27821
2451554.0,0.27901
2451555.0,0.28038
2451556.0,0.28138
2451557.0,0.28200
2451558.0,0.28266
2451559.0,0.28304
2451560.0,0.28233
2451561.0,0.28141
2451562.0,0.28014
2451563.0,0.27950
2451564.0,0.27726
2451565.0,0.27544
2451566.0,0.27423
2451567.0,0.27343
2451568.0,0.27310
2451569.0,0.27283
2451570.0,0.27256
2451571.0,0.27226
2451572.0,0.27225
2451573.0,0.27304
2451574.0,0.27382
2451575.0,0.27486
2451576.0,0.27453
2451577.0,0.27633
2451578.0,0.27843
2451579.0,0.27943
2451580.0,0.28045
2451581.0,0.28017
2451582.0,0.28028
2451583.0,0.28114
2451584.0,0.28096
2451585.0,0.28026
2451586.0,0.27957
2451587.0,0.27958
2451588.0,0.27930
2451589.0,0.27847
2451590.0,0.27737
2451591.0,0.27595
2451592.0,0.27487
2451593.0,0.27381
2451594.0,0.27352
2451595.0,0.27296
2451596.0,0.27262
2451597.0,0.27309
2451598.0,0.27387
2451599.0,0.27584
2451600.0,0.27760
2451601.0,0.27968
2451602.0,0.28079
2451603.0,0.28092
2451604.0,0.28138
2451605.0,0.28144
2451606.0,0.28091
2451607.0,0.28102
2451608.0,0.28086
2451609.0,0.28023
2451610.0,0.27987
2451611.0,0.27961
2451612.0,0.27902
2451613.0,0.27949
2451614.0,0.27961
2451615.0,0.28010
2451616.0,0.27953
2451617.0,0.27932
2451618.0,0.27887
2451619.0,0.27646
2451620.0,0.27640
2451621.0,0.27607
2451622.0,0.27680
2451623.0,0.27724
2451624.0,0.27748
2451625.0,0.27804
2451626.0,0.27928
2451627.0,0.28015
2451628.0,0.28011
2451629.0,0.28124
2451630.0,0.28227
2451631.0,0.28241
2451632.0,0.28293
2451633.0,0.28331
2451634.0,0.28321
2451635.0,0.28364
2451636.0,0.28362
2451637.0,0.28334
2451638.0,0.28272
2451639.0,0.28152
2451640.0,0.28069
2451641.0,0.28013
2451642.0,0.27974
2451643.0,0.28002
2451644.0,0.28042
2451645.0,0.28051
2451646.0,0.28087
2451647.0,0.28079
2451648.0,0.28048
2451649.0,0.27992
2451650.0,0.27938
2451651.0,0.27783
2451652.0,0.27780
2451653.0,0.27726
2451654.0,0.27936
2451655.0,0.27870
2451656.0,0.27947
2451657.0,0.28033
2451658.0,0.28054
2451659.0,0.27992
2451660.0,0.27960
2451661.0,0.27901
2451662.0,0.27867
2451663.0,0.27816
2451664.0,0.27804
2451665.0,0.27715
2451666.0,0.27614
2451667.0,0.27636
2451668.0,0.27571
2451669.0,0.27517
2451670.0,0.27492
2451671.0,0.27499
2451672.0,0.27633
2451673.0,0.27681
2451674.0,0.27735
2451675.0,0.27810
2451676.0,0.27869
2451677.0,0.27992
2451678.0,0.28103
2451679.0,0.28095
2451680.0,0.28148
2451681.0,0.28270
2451682.0,0.28271
2451683.0,0.28328
2451684.0,0.28364
2451685.0,0.28321
2451686.0,0.28219
2451687.0,0.28098
2451688.0,0.27924
2451689.0,0.27750
2451690.0,0.27637
2451691.0,0.27537
2451692.0,0.27509
2451693.0,0.27445
2451694.0,0.27421
2451695.0,0.27369
2451696.0,0.27394
2451697.0,0.27575
2451698.0,0.27686
2451699.0,0.27697
2451700.0,0.27763
2451701.0,0.27854
2451702.0,0.27837
2451703.0,0.27873
2451704.0,0.27855
2451705.0,0.27909
2451706.0,0.28006
2451707.0,0.28124
2451708.0,0.28109
2451709.0,0.28075
2451710.0,0.28129
2451711.0,0.28173
2451712.0,0.28136
2451713.0,0.28100
2451714.0,0.28111
2451715.0,0.28090
2451716.0,0.28085
2451717.0,0.28013
2451718.0,0.27957
2451719.0,0.27889
2451720.0,0.27823
2451721.0,0.27760
2451722.0,0.27750
2451723.0,0.27634
2451724.0,0.27586
2451725.0,0.27611
2451726.0,0.27721
2451727.0,0.27797
2451728.0,0.27808
2451729.0,0.27789
2451730.0,0.27769
2451731.0,0.27782
2451732.0,0.27857
2451733.0,0.28050
2451734.0,0.28141
2451735.0,0.28226
2451736.0,0.28378
2451737.0,0.28306
2451738.0,0.28259
2451739.0,0.28237
2451740.0,0.28209
2451741.0,0.28346
2451742.0,0.28512
2451743.0,0.28629
2451744.0,0.28690
2451745.0,0.28666
2451746.0,0.28678
2451747.0,0.28588
2451748.0,0.28415
2451749.0,0.28268
2451750.0,0.28116
2451751.0,0.27876
2451752.0,0.27796
2451753.0,0.27713
