time,LymanAlpha,type
2000165,5.60,1
2000166,5.56,1
2000167,5.56,1
2000168,5.58,1
2000169,5.58,1
2000170,5.57,1
2000171,5.51,1
2000172,5.46,1
2000173,5.41,1
2000174,5.38,1
2000175,5.29,1
2000176,5.23,1
2000177,5.18,1
2000178,5.14,1
2000179,5.07,1
2000180,5.00,1
2000181,4.99,1
2000182,4.98,1
2000183,5.06,1
2000184,5.08,1
2000185,5.13,1
2000186,5.07,1
2000187,5.09,1
2000188,5.16,1
2000189,5.33,1
2000190,5.50,1
2000191,5.64,1
2000192,5.72,1
2000193,5.72,1
2000194,5.74,1
2000195,5.69,1
2000196,5.70,1
2000197,5.73,1
2000198,5.84,1
2000199,5.95,1
2000200,5.99,1
2000201,6.00,1
2000202,6.01,1
2000203,6.04,1
2000204,6.00,1
2000205,5.89,1
2000206,5.69,1
2000207,5.59,1
2000208,5.59,1
2000209,5.73,1
2000210,5.71,1
2000211,5.64,1
2000212,5.37,1
2000213,5.34,1
2000214,5.28,1
2000215,5.36,1
2000216,5.32,1
2000217,5.34,1
2000218,5.40,1
2000219,5.43,1
2000220,5.40,1
2000221,5.38,1
2000222,5.37,1
2000223,5.45,1
2000224,5.55,1
2000225,5.66,1
2000226,5.72,1
2000227,5.74,1
2000228,5.77,1
2000229,5.79,1
2000230,5.76,1
2000231,5.67,1
2000232,5.59,1
2000233,5.49,1
2000234,5.38,1
2000235,5.17,1
2000236,5.01,1
2000237,4.96,1
2000238,4.98,1
2000239,4.99,1
2000240,4.96,1
2000241,5.05,1
2000242,5.02,1
2000243,5.20,1
2000244,5.23,1
2000245,5.41,1
2000246,5.38,1
2000247,5.37,1
2000248,5.32,1
2000249,5.34,1
2000250,5.35,1
2000251,5.44,1
2000252,5.50,1
2000253,5.53,1
2000254,5.44,1
2000255,5.33,1
2000256,5.26,1
2000257,5.28,1
2000258,5.30,1
2000259,5.29,1
2000260,5.25,1
2000261,5.24,1
2000262,5.23,1
2000263,5.23,1
2000264,5.22,1
2000265,5.19,1
2000266,5.20,1
2000267,5.20,1
2000268,5.27,1
2000269,5.38,1
2000270,5.55,1
2000271,5.65,1
2000272,5.66,1
2000273,5.61,1
2000274,5.59,1
2000275,5.60,1
2000276,5.63,1
2000277,5.72,1
2000278,5.78,1
2000279,5.83,1
2000280,5.74,1
2000281,5.60,1
2000282,5.60,1
2000283,5.48,1
2000284,5.35,1
2000285,5.16,1
2000286,5.13,1
2000287,5.14,1
2000288,5.15,1
2000289,5.16,1
2000290,5.18,1
2000291,5.22,1
2000292,5.28,1
2000293,5.35,1
2000294,5.31,1
2000295,5.30,1
2000296,5.28,1
2000297,5.42,1
